Id,STseg,TTseg,Segmentation,Study,Session,SL,TL,Task,Text,Part,Nedit,Dur,FDur,PreGap,TG300,TD300,TB300,TG500,TD500,TB500,TG1000,TD1000,TB1000,TG2000,TD2000,TB2000,TG5000,TD5000,TB5000,Scatter,FixS,TrtS,FixT,TrtT,ParalFixS,ParalS,ParalFixT,ParalT,Ins,Del,MIns,MDel,AIns,ADel,SIns,SDel,TokS,LenS,TokT,LenT,LenMT,Yawat,String,HTra,HSeg,Hcross,SynSimS,SynSimT,SynSim
1,1,1,sentence,CREATIVE2,P01_P2,en,zh,P,2,P01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,---,零,2.55,1.49,0,1,1,1
2,2,2,sentence,CREATIVE2,P01_P2,en,zh,P,2,P01,2,1376443,228717,1314406,62017,20,1,62017,20,1,62017,20,1,62017,20,1,62017,20,1,1,0,0,0,0,0,0,0,0,12,11,12,11,0,0,0,0,5,27,3,9,0,---,阿桑特_大喊大叫_。,1.91,1.09,0,1,2.33,1.67
3,3,3,sentence,CREATIVE2,P01_P2,en,zh,P,2,P01,5,3607070,310379,3489305,116139,1626,24,112723,5042,15,108038,9727,9,100205,17560,4,90479,27286,1,10,0,0,0,0,0,0,0,0,50,76,50,76,0,0,0,0,15,73,16,26,0,---,地狱_是_个_回音_室_，_充斥_着_喊叫声_、_海水_和_金属_的_叮当声_。,1.51,1,0,1.53,1.38,1.45
4,4,4,sentence,CREATIVE2,P01_P2,en,zh,P,2,P01,9,664143,413298,537804,123668,2671,27,121694,4645,22,112506,13833,10,106732,19607,6,100140,26199,4,15,0,0,0,0,0,0,0,0,67,53,67,53,0,0,0,0,16,91,14,24,0,---,巨大_的_阴影_沿着_舱壁_移动_;_绿色_的_光网_在_上面_闪烁_。,2.08,1.3,0,2.56,3.14,2.85
5,5,5,sentence,CREATIVE2,P01_P2,en,zh,P,2,P01,7,837041,511096,207191,625710,4140,44,621534,8316,33,615732,14118,24,609109,20741,19,591775,38075,13,19,0,0,0,0,0,0,0,0,131,140,131,140,0,0,0,0,35,180,36,54,0,---,仿佛_是_明亮_泻湖_中_的_生物_，_萨_利特_人_从_月池_中冒出_并_开始_射击_；_在_黑雾_中_拉希_达_的_腹部_被_击中_，_她_的_上半身_倒_在_甲板_上_。,1.99,1.22,0,3.4,4.31,3.85
6,6,6,sentence,CREATIVE2,P01_P2,en,zh,P,2,P01,7,7050454,1573285,4631635,2398094,20725,184,2386727,32092,153,2350531,68288,101,2315858,102961,75,2204822,213997,40,58,0,0,0,0,0,0,0,0,360,372,360,372,0,0,0,0,55,325,60,92,0,---,基托_还_在_往_晒_鱼_架上_的_鱼枪_那边_挪动_，_好像_几个_老迈_的_渔夫_能_抵挡_住_这些_怪物_似的_，_可_他们_带_着_枪_、_充气_胎_，_它们_的_小_子弹_会_深埋_进_你_的_肉体_中_，_让_你_看到_释放出来_五百个_大气压_会_对_你_的_内脏_产生_什么_影响_。,2.58,1.5,0,4.11,2.28,3.2
7,7,7,sentence,CREATIVE2,P01_P2,en,zh,P,2,P01,3,122715,122715,78944,40607,3164,29,35053,8718,14,32547,11224,10,27205,16566,6,14364,29407,2,4,0,0,0,0,0,0,0,0,43,41,43,41,0,0,0,0,8,29,5,9,0,---,阿桑_特别_无_依仗_。,2.84,1.49,0,2.88,4,3.44
8,8,8,sentence,CREATIVE2,P01_P2,en,zh,P,2,P01,1,141692,141692,108757,31910,1025,14,29926,3009,9,26103,6832,4,26103,6832,4,15466,17469,1,2,0,0,0,0,0,0,0,0,18,17,18,17,0,0,0,0,8,27,6,11,0,---,他_只能靠_自己_的_拳头_。,2.58,1.55,0,1.75,2.83,2.29
9,9,9,sentence,CREATIVE2,P01_P2,en,zh,P,2,P01,5,1384379,211422,1369642,14171,566,8,13532,1205,6,11612,3125,3,10424,4313,2,6368,8369,1,6,0,0,0,0,0,0,0,0,15,83,15,83,0,0,0,0,4,14,5,6,0,---,他_就_用_了_。,2,1.48,0,2.5,1.8,2.15
10,10,10,sentence,CREATIVE2,P01_P2,en,zh,P,2,P01,3,607556,374115,6162,599137,2257,34,596991,4403,28,590600,10794,19,589557,11837,18,573851,27543,14,18,0,0,0,0,0,0,0,0,113,72,113,72,0,0,0,0,27,140,26,42,0,---,他_自己_冲向_已经_看到_基托_的_那个_最近_的_萨_利特_人_，_随着_甲板_的_呻吟_和_倾斜_，_船_剧烈地_摇摆_着_。,2.76,1.7,0,5.11,4.12,4.61
11,11,11,sentence,CREATIVE2,P01_P2,en,zh,P,2,P01,2,1892673,18456,1881515,10650,508,3,10650,508,3,10033,1125,2,8480,2678,1,8480,2678,1,4,0,0,0,0,0,0,0,0,6,30,6,30,0,0,0,0,14,73,14,22,0,---,海水_冲破_了_月亮_池_的_边缘_，_瀑布_般_漫过_了_水面_。,2.12,1.38,0,2.64,2.36,2.5
12,12,12,sentence,CREATIVE2,P01_P2,en,zh,P,2,P01,4,787416,354801,601704,184655,1057,12,184268,1444,11,180304,5408,6,176719,8993,4,176719,8993,4,4,0,0,0,0,0,0,0,0,24,30,24,30,0,0,0,0,10,47,7,16,0,---,阿桑特_跌倒_时向_入侵者_猛扑_过去_。,2.32,1.54,0,3,5,4
13,13,13,sentence,CREATIVE2,P01_P2,en,zh,P,2,P01,2,117556,117556,5993,109547,2016,4,109159,2404,3,108615,2948,2,108615,2948,2,106005,5558,1,1,0,0,0,0,0,0,0,0,18,16,18,16,0,0,0,0,5,20,5,6,0,---,她_射_偏_了_。,2.15,1.32,0,2,2,2
14,14,14,sentence,CREATIVE2,P01_P2,en,zh,P,2,P01,1,2845355,563818,117506,2719563,8286,70,2712639,15210,52,2692830,35019,25,2685797,42052,20,2657128,70721,11,9,0,0,0,0,0,0,0,0,110,113,110,113,0,0,0,0,29,142,22,38,0,---,一个_蜘蛛网_罩住_了_观察_孔_；_正巧在_玻璃_边缘_相接_的_地方_，_从_它_的_中央_一滴水_爆_开来_。,2.58,1.44,0,4.93,6.86,5.9
15,15,15,sentence,CREATIVE2,P01_P2,en,zh,P,2,P01,1,282580,282580,4111,273721,4748,29,270300,8169,20,265045,13424,12,265045,13424,12,254211,24258,9,6,0,0,0,0,0,0,0,0,51,73,51,73,0,0,0,0,21,107,17,28,0,---,阿桑特_咽气_前_最后_看到_的_是_萨_利特_人_潜水服_上_的_沙漠_锤_标志_。,2.16,1.42,0,5.19,7.65,6.42
1,1,38,paragraph,CREATIVE2,P01_P5,en,zh,P,5,P01,1,215937,4179,211758,4179,0,1,4179,0,1,4179,0,1,4179,0,1,0,4179,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,3,18,2,4,0,---,重复_过去,1.96,0,0,1,1.5,1.25
2,2,39,paragraph,CREATIVE2,P01_P5,en,zh,P,5,P01,2,361652,42800,354644,7008,0,2,7008,0,2,7008,0,2,7008,0,2,0,7008,0,1,0,0,0,0,0,0,0,0,3,1,3,1,0,0,0,0,6,28,4,7,0,---,家史_的_一课_。,2.18,0.51,0,2,3.75,2.88
3,3,40,paragraph,CREATIVE2,P01_P5,en,zh,P,5,P01,1,21356,21356,21139,0,217,0,0,217,0,0,217,0,0,217,0,0,217,0,1,0,0,0,0,0,0,0,0,0,218,0,218,0,0,0,0,11,53,12,20,0,---,你_对_你_叔叔_坟墓_的_所作所为_是_不可_原谅_的_。,0.87,0.48,0,3.45,2.92,3.19
4,4,41,paragraph,CREATIVE2,P01_P5,en,zh,P,5,P01,3,1249316,1249316,144068,1084100,21148,152,1072607,32641,122,1036569,68679,69,1016362,88886,53,954179,151069,36,76,0,0,0,0,0,0,0,0,469,250,469,250,0,0,0,0,131,629,137,219,0,---,你_母亲_一如既往_地_自责_。_她_说_，_你_不_知道_自己_在_做_什么_。_当_你_把_我_给_你_的_shofar_换成_eMotiv_耳机_的_时候_，_或许_，_甚至_当_你_和_那些_剃_了_光头_、_满嘴_污言秽语_的_年轻_恶棍_成为_朋友_的_时候_我_都_还_能_接受_。_但_我_永远_也_不会_原谅_你_在_游戏_用_Ipod_上面_画_的_纳粹党_徽_，_你_只是_我_女儿_的_儿子_，_不是_我_儿子_。_也许_这_只是_青春期_的_叛逆_。_可_你_怎么_会_懂_？_在_2017_年_，_这里_的_孩子_怎么_可能_真正_会_懂_？_在_历史_书_和_粗糙_的_老照片_中_，_种族灭绝_是_一件_多么_可怕_的_事情_。_你_没有_身临其境_，_你_永远_不会_懂_。,1.56,0.77,0,4.74,3.81,4.28
5,5,42,paragraph,CREATIVE2,P01_P5,en,zh,P,5,P01,2,1127335,921161,51412,1066656,9267,121,1055797,20126,92,1028206,47717,53,1011231,64692,41,956174,119749,25,39,0,0,0,0,0,0,0,0,310,323,310,323,0,0,0,0,107,502,99,155,0,---,我们_告诉_自己_，_你_本质_上_是_个_好孩子_，_对_你_来说_，_这是_一段_古老_的_历史_，_抽象_而_不_真实_。_我们_两个_都_是_医生_，_都_熟悉_犹太人_那种_令人_悲伤_的_自卑_的_样子_，_我们_说服_自己_把_你_当成_某种_受害者_。_警察_把_你_从_墓_地带_回来_时_，_你_用_迟钝_、_冷漠_的_眼神_看着_我们_，_我_不再_原谅_你_了_。_这_不仅仅_是_你_叔叔_的_坟墓_。_你_是_在_侮辱_其他_六百万_人_，_你_懂_了_也_于事无补_。,1.5,0.75,0,2.86,2.94,2.9
1,1,1,sentence,CREATIVE2,P02_P2,en,zh,P,2,P02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,---,零,2.55,1.49,0,0,0,0
2,2,2,sentence,CREATIVE2,P02_P2,en,zh,P,2,P02,2,2206099,258338,1817956,377806,10337,45,374789,13354,37,364498,23645,22,353219,34924,14,321928,66215,5,2,0,0,0,0,0,0,0,0,130,156,130,156,0,0,0,0,5,27,5,11,0,---,阿桑特_大叫_着_跑出去_。,1.91,1.09,0,0,0,0
3,3,3,sentence,CREATIVE2,P02_P2,en,zh,P,2,P02,2,34811,34811,3379,30044,1388,7,29183,2249,5,27660,3772,3,24811,6621,1,24811,6621,1,4,0,0,0,0,0,0,0,0,50,16,50,16,0,0,0,0,15,73,21,34,0,---,船舱_就_像_一个_地狱_般的_回声_室_，_到处_都_是_呼嚎_和_海水_，_还有_叮当响_的_金属_。,1.51,1,0,0,0,0
4,4,4,sentence,CREATIVE2,P02_P2,en,zh,P,2,P02,3,128877,128877,54570,63516,10791,60,58251,16056,47,38586,35721,19,23273,51034,7,0,74307,0,7,0,0,0,0,0,0,0,0,148,140,148,140,0,0,0,0,16,91,18,33,0,---,巨大_的_阴影_沿着_舱壁_移动_；_绿光_网格_在_每个_表面_上_闪烁_，_更显_扑朔迷离_。,2.08,1.3,0,0,0,0
5,5,5,sentence,CREATIVE2,P02_P2,en,zh,P,2,P02,2,300243,300243,74119,216831,9293,48,212766,13358,38,203368,22756,25,191150,34974,15,161735,64389,7,17,0,0,0,0,0,0,0,0,132,132,132,132,0,0,0,0,35,180,45,73,0,---,S_ā_ḥ_ilites_从_月亮_池中_跃起_，_就_像_某个_明亮_泻湖_中_的_生物_一样_；_他们_一边_涌现_，_一边_射击_；_拉希_达_的_腰身_在_在_黑雾_中_爆炸_开来_，_上半身_直接_掉_到_了_甲板_上_。,1.99,1.22,0,0,0,0
6,6,6,sentence,CREATIVE2,P02_P2,en,zh,P,2,P02,3,343171,343171,90578,227615,24978,101,219737,32856,82,191747,60846,41,162522,90071,21,116685,135908,7,25,0,0,0,0,0,0,0,0,323,336,323,336,0,0,0,0,55,325,56,92,0,---,基托_仍_朝着_干燥_架上_的_矛枪_爬_去_—_—_似乎_那些_古董_鱼枪_可以_抵抗_这些_怪物_和_他们_的_枪_及_那些_气动_设备_和_细小_的_子弹_—_—_这些_子弹_会_钻入_肉体_里_，_然后_释放_500_倍_大气_体积_，_对_你_的_身体_造成_令人震惊_的_伤害_。,2.58,1.5,0,0,0,0
7,7,7,sentence,CREATIVE2,P02_P2,en,zh,P,2,P02,3,136598,136598,86918,41099,8581,26,37432,12248,17,31637,18043,8,31637,18043,8,16116,33564,3,10,0,0,0,0,0,0,0,0,102,88,102,88,0,0,0,0,8,29,12,20,0,---,这些_都_已_远远_超过_了_阿桑特_所_拥有_的_装备_。,2.84,1.49,0,0,0,0
8,8,8,sentence,CREATIVE2,P02_P2,en,zh,P,2,P02,4,46735,46735,13146,30639,2950,14,29142,4447,10,24033,9556,3,22763,10826,2,22763,10826,2,5,0,0,0,0,0,0,0,0,50,54,50,54,0,0,0,0,8,27,7,11,0,---,他_只有_他_自己_的_拳头_。,2.58,1.55,0,0,0,0
9,9,9,sentence,CREATIVE2,P02_P2,en,zh,P,2,P02,2,26761,26761,9823,15673,1265,6,15254,1684,5,14035,2903,3,14035,2903,3,7138,9800,1,2,0,0,0,0,0,0,0,0,22,21,22,21,0,0,0,0,4,14,5,9,0,---,他_也_物尽其用_了_。,2,1.48,0,0,0,0
10,10,10,sentence,CREATIVE2,P02_P2,en,zh,P,2,P02,3,405268,405268,171450,213578,20240,81,205974,27844,62,178319,55499,23,165917,67901,15,144700,89118,9,16,0,0,0,0,0,0,0,0,267,273,267,273,0,0,0,0,27,140,36,57,0,---,在_S_ā_ḥ_ilite_看着_基托_时_，_他_就_在_她_身旁_不远处_跃起_，_大开大合_，_就_连_甲板_似乎_也_为_之_呻吟_着_并_纷纷_塌落_，_向_一侧_倾斜_。,2.76,1.7,0,0,0,0
11,11,11,sentence,CREATIVE2,P02_P2,en,zh,P,2,P02,2,35111,35111,26440,8218,453,3,8218,453,3,6913,1758,1,6913,1758,1,6913,1758,1,3,0,0,0,0,0,0,0,0,8,13,8,13,0,0,0,0,14,73,13,20,0,---,海水_冲_过_月亮_池_的_边缘_、_形成_了_层叠_瀑布_。,2.12,1.38,0,0,0,0
12,12,12,sentence,CREATIVE2,P02_P2,en,zh,P,2,P02,2,62860,62860,21030,35935,5895,20,34809,7021,17,27450,14380,7,24458,17372,5,16331,25499,2,4,0,0,0,0,0,0,0,0,78,81,78,81,0,0,0,0,10,47,9,21,0,---,阿桑特_一路_势不可挡_，_猛烈地_冲击_着_入侵者_。,2.32,1.54,0,0,0,0
13,13,13,sentence,CREATIVE2,P02_P2,en,zh,P,2,P02,3,182122,182122,173985,5828,2309,8,4635,3502,5,1592,6545,1,0,8137,0,0,8137,0,3,0,0,0,0,0,0,0,0,30,24,30,24,0,0,0,0,5,20,5,8,0,---,她_一枪_打偏_了_。,2.15,1.32,0,0,0,0
14,14,14,sentence,CREATIVE2,P02_P2,en,zh,P,2,P02,4,279039,279039,237700,38081,3258,17,36509,4830,13,31314,10025,6,30287,11052,5,18104,23235,1,7,0,0,0,0,0,0,0,0,53,50,53,50,0,0,0,0,29,142,26,43,0,---,一个_蜘蛛网_出现_在_视野_中_；_即使_玻璃_试图_从_其_边缘_愈合_，_其_中心_依然_有_一股_细小_的_水_喷射_而出_。,2.58,1.44,0,0,0,0
15,15,15,sentence,CREATIVE2,P02_P2,en,zh,P,2,P02,3,99712,99712,44195,50582,4935,26,48932,6585,22,40515,15002,10,33924,21593,5,22350,33167,2,7,0,0,0,0,0,0,0,0,81,90,81,90,0,0,0,0,21,107,22,37,0,---,在_阿桑特_被_S_ā_ḥ_ilite_轰飞_之前_，_他_看到_她_的_水母_衣上_有_一个_沙漠_锤_图标_。,2.16,1.42,0,0,0,0
1,1,38,paragraph,CREATIVE2,P02_P5,en,zh,P,5,P02,2,13682531,17782,13671760,10145,626,4,9743,1028,3,9189,1582,2,7671,3100,1,7671,3100,1,1,0,0,0,0,0,0,0,0,11,9,11,9,0,0,0,0,3,18,2,4,0,---,重复_历史,1.96,0,0,1,1.5,1.25
2,2,39,paragraph,CREATIVE2,P02_P5,en,zh,P,5,P02,1,12273,12273,6035,4567,1671,6,3358,2880,3,2808,3430,2,0,6238,0,0,6238,0,1,0,0,0,0,0,0,0,0,15,15,15,15,0,0,0,0,6,28,2,7,0,---,家庭_历史教训,2.18,0.51,0,1.83,4,2.92
3,3,40,paragraph,CREATIVE2,P02_P5,en,zh,P,5,P02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,53,14,20,0,---,你_对_你_叔叔_的_坟墓_所作_的_事_是_不可_原谅_的_。,0.87,0.48,0,3.82,2.43,3.12
4,4,41,paragraph,CREATIVE2,P02_P5,en,zh,P,5,P02,2,747281,747281,47041,666307,33933,148,652830,47410,115,620816,79424,68,588922,111318,45,531786,168454,27,47,0,0,0,0,0,0,0,0,470,464,470,464,0,0,0,0,131,629,142,224,0,---,您_的_母亲_总是_责备_自己_。_她_说_，_你_不_知道_自己_在_做_什么_。_你_将_我_送给_你_的_羊角_号_拿_去_换_了_那个_eMotiv_耳机_，_我_可以_原谅_你_；_也许_，_甚至_你_和_那些_剃光头_并_满嘴_下流话_的_二流子_们_交朋友_，_我_也_可以_接受_。_我_永远_不会_原谅_你_的_游戏_中_的_那个_纳粹_字符_；_但_你_是_我_女儿_的_儿子_，_而_不是_我_的_儿子_。_也许_这_只是_青少年_的_叛逆_吧_。_毕竟_，_你_又_知道_什么_呢_？_现在_是_2017_年_，_有_哪些_孩子_真的_知道_吗_？_种族灭绝_要_远_比_历史书籍_和_年代久远_的_照片_所_传达_的_含义_更为_可怕_。_你_没有_经历_过_；_所以_你_永远_都_无法_理解_。,1.56,0.77,0,4.56,3.23,3.9
5,5,42,paragraph,CREATIVE2,P02_P5,en,zh,P,5,P02,2,251609,251609,31191,216207,4211,42,212593,7825,33,206384,14034,24,205068,15350,23,170601,49817,12,20,0,0,0,0,0,0,0,0,83,82,83,82,0,0,0,0,107,502,106,169,0,---,我们_告诉_我们_自己_，_你_在内_心里_是_个_好_男孩_；_对_你_来说_，_这是_一段_古老_的_历史_，_抽象_且_不_真实_。_我们_两位_医生_都_熟悉_犹太人_这种_令人_悲伤_的_立体式_自我_厌恶_的_感觉_；_我们_说服_像_对待_受害者_一样_对待_你_。_然后_警察_把_你_从_墓_地带_回来_；_你_用_那_沉闷_冷漠_的_眼神_望_着_我们_；_我_也_不再_找_借口_了_。_这_已_不仅仅_是_你_叔叔_的_坟墓_。_你_在_向_其他_600_万人_吐_唾沫_；_但是_，_你_并不知道_这_意味着_什么_。,1.5,0.75,0,2.8,2.76,2.78
1,1,33,paragraph,CREATIVE2,P03_P2,en,zh,P,2,P03,1,37750,37750,33500,4040,210,2,4040,210,2,3424,826,1,3424,826,1,0,4250,0,1,0,0,0,0,0,0,0,0,5,3,5,3,0,0,0,0,1,5,1,2,0,---,零们,2.55,1.49,0,1,1,1
2,2,34,paragraph,CREATIVE2,P03_P2,en,zh,P,2,P03,4,4455194,3443780,1133804,3191547,129843,547,3144413,176977,428,3015373,306017,247,2915825,405565,171,2710852,610538,105,85,0,0,0,0,0,0,0,0,1302,1287,1302,1287,0,0,0,0,126,696,152,259,0,---,阿桑特_大喊大叫_。_地狱_是_一间_回声_室_，_充满_呼号_声_、_海水_声_，_还有_丁零当啷_的_金属_碰撞_声_。_船_的_舱壁_上_移动_着_骇人_的_巨大_黑影_；_闪现_着_绿光_的_网格_在_每个_表面_上_蠕动_。_萨黑士们_出现_在_月光_下_，_好像_怪兽_在_明亮_的_泻湖_中_现身_，_他们_一边_开火_一边_前进_。_拉希_达_被_他们_的_火力_拦腰_炸断_，_夜幕_下_她_的_身体_在_空中_粉碎_，_上半身_重重地_掉落在_甲板_上_。_基托_仍_在_艰难_地往_晾晒_架_方向_挪动_，_他_想_拿到_那_把_放在_晾晒_架上_的_鱼枪_—_—_好像_这种_老式_捕鱼_工具_还_可能_抵抗_这些_怪物_似的_。_这些_怪物_的_气枪_威力_无比_，_小小的_弹壳_穿入_你_的_身体_，_在_你_的_五脏六腑_间_爆炸_开来_，_强度_高达_500_个_大气压_。,2.2,1.32,0,4.49,3.2,3.85
3,3,35,paragraph,CREATIVE2,P03_P2,en,zh,P,2,P03,2,244948,244948,75846,158489,10613,45,154168,14934,35,142645,26457,18,134026,35076,12,112852,56250,5,6,0,0,0,0,0,0,0,0,138,134,138,134,0,0,0,0,16,56,10,22,0,---,而_阿桑特_却是_赤手空拳_，_什么_武器装备_都_没有_。,2.71,1.52,0,6.38,10.5,8.44
4,4,36,paragraph,CREATIVE2,P03_P2,en,zh,P,2,P03,5,2586193,2208749,473845,1994467,117881,510,1942598,169750,377,1830040,282308,215,1690625,421723,115,1527441,584907,62,39,0,0,0,0,0,0,0,0,1284,1310,1284,1310,0,0,0,0,89,436,94,162,0,---,他_双_拳击_向_离_自己_最近_的_萨_黑士_，_那个_萨黑士_正_准备_攻击_基托_。_海水_在_月光_下_翻滚_，_海浪_打_在_船舷_上_，_甲板_剧烈_地上_下_颠簸_、_左右_摇晃_。_入侵者_的_身体_也_随着_甲板_不停_摇摆_，_阿桑特_对_着_她_拳打脚踢_，_萨黑士_往_后退_，_阿桑特_一路_追着_她_。_她_朝着_阿桑特_猛烈_扫射_。_观察窗_上_布满_了_蜘蛛网_似的_裂缝_；_即使_玻璃_的_四周_有_边缘_保护_以防_破碎_，_中间_还是_喷出_了_一股_细流_。,2.48,1.52,0,5.43,5.38,5.4
5,5,37,paragraph,CREATIVE2,P03_P2,en,zh,P,2,P03,4,460934,460934,143476,303075,14383,46,298376,19082,34,290580,26878,23,279307,38151,14,260417,57041,7,4,0,0,0,0,0,0,0,0,107,110,107,110,0,0,0,0,21,107,15,27,0,---,阿桑特_临死前_最后_看见_的_是_萨_黑士_潜水服_上_的_沙漠_锤_图标_。,2.16,1.42,0,4.76,6.2,5.48
1,1,16,sentence,CREATIVE2,P03_P5,en,zh,P,5,P03,1,55112,55112,25552,28232,1328,7,28232,1328,7,26064,3496,4,25023,4537,3,25023,4537,3,1,0,0,0,0,0,0,0,0,16,15,16,15,0,0,0,0,3,18,2,4,0,---,重演_过去,1.96,0,0,1,1.5,1.25
2,2,17,sentence,CREATIVE2,P03_P5,en,zh,P,5,P03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,28,4,8,0,---,家庭_历史_的_一课,2.18,0.51,0,2.17,3,2.58
3,3,18,sentence,CREATIVE2,P03_P5,en,zh,P,5,P03,1,17727,17727,16407,1150,170,2,734,586,1,0,1320,0,0,1320,0,0,1320,0,1,0,0,0,0,0,0,0,0,2,3,2,3,0,0,0,0,11,53,14,20,0,---,你_对_你_叔叔_的_坟墓_所作_的_事_是_不可_原谅_的_。,0.87,0.48,0,4,2.43,3.21
4,4,19,sentence,CREATIVE2,P03_P5,en,zh,P,5,P03,2,114973,114973,92758,18320,3895,16,16522,5693,11,13413,8802,6,9473,12742,3,0,22215,0,4,0,0,0,0,0,0,0,0,44,38,44,38,0,0,0,0,8,39,12,16,0,---,你_的_母亲_照例_认为_这_都_是_她_的_错_。,1.68,0.96,0,5.38,2.17,3.77
5,5,20,sentence,CREATIVE2,P03_P5,en,zh,P,5,P03,6,844899,844899,223097,597197,24605,116,590301,31501,98,556774,65028,48,537177,84625,34,482726,139076,18,5,0,0,0,0,0,0,0,0,323,385,323,385,0,0,0,0,12,47,11,15,0,---,她_说_，_你_不_知道_自己_在_做_什么_。,0.53,0.31,0,2.83,3.55,3.19
6,6,21,sentence,CREATIVE2,P03_P5,en,zh,P,5,P03,6,118959,118959,37182,79752,2025,22,79427,2350,21,75698,6079,16,70467,11310,12,45136,36641,4,17,0,0,0,0,0,0,0,0,134,75,134,75,0,0,0,0,36,184,40,60,0,---,你_把_我_给_你_的_羊角_号_拿_去_换_了_一副_电动_耳机_，_我_可以_原谅_你_；_甚至于_你_同_那些_剃着_光头_、_满嘴_脏话_的_小混混_交朋友_，_我_也_可以_原谅_你_。,1.75,0.86,0,7.97,4.58,6.27
7,7,22,sentence,CREATIVE2,P03_P5,en,zh,P,5,P03,3,490632,490632,34818,446310,9504,59,442618,13196,50,423870,31944,25,408705,47109,14,395608,60206,9,11,0,0,0,0,0,0,0,0,123,120,123,120,0,0,0,0,22,99,28,41,0,---,但是_我_永远_无法_原谅_你_，_在_游戏_盒_上标_上_纳粹_十字_，_可是_你_是_我_女儿_的_儿子_，_又_不是_我_的_。,1.56,0.82,0,3.05,1.89,2.47
8,8,23,sentence,CREATIVE2,P03_P5,en,zh,P,5,P03,1,109691,109691,32862,75409,1420,15,74754,2075,13,69454,7375,6,67844,8985,5,57907,18922,2,3,0,0,0,0,0,0,0,0,22,21,22,21,0,0,0,0,7,40,8,14,0,---,也许_这_只是_青春期_的_叛逆_吧_。,0.72,0.45,0,2.71,1.88,2.29
9,9,24,sentence,CREATIVE2,P03_P5,en,zh,P,5,P03,1,16303,16303,3934,9664,2705,6,9664,2705,6,7245,5124,3,4761,7608,1,0,12369,0,2,0,0,0,0,0,0,0,0,27,22,27,22,0,0,0,0,8,31,8,13,0,---,毕竟_你_怎么_能_懂得_这些_呢_？,1.8,0.71,0,4.75,3.38,4.06
10,10,25,sentence,CREATIVE2,P03_P5,en,zh,P,5,P03,2,91076,91076,12160,73791,5125,21,72267,6649,17,66188,12728,8,63114,15802,6,56217,22699,4,2,0,0,0,0,0,0,0,0,58,52,58,52,0,0,0,0,11,47,13,23,0,---,2017_年_了_，_有_哪个_孩子_能_真正_懂得_这些_呢_？,1.96,0.86,0,4.64,5,4.82
